,rank,song,artist(s)
0,1,all too well (taylor's version),taylor swift
1,2,easy on me,adele
2,3,stay,the kid laroi & justin bieber
3,4,industry baby,lil nas x & jack harlow
4,5,smokin out the window,silk sonic (bruno mars & anderson .paak)
5,6,bad habits,ed sheeran
6,7,shivers,ed sheeran
7,8,heat waves,glass animals
8,9,need to know,doja cat
9,10,fancy like,walker hayes
10,11,cold heart (pnau remix),elton john & dua lipa
11,12,way 2 sexy,drake featuring future & young thug
12,13,good 4 u,olivia rodrigo
13,14,you right,doja cat & the weeknd
14,15,essence,wizkid featuring justin bieber & tems
15,16,beggin',maneskin
16,17,levitating,dua lipa
17,18,state of grace (taylor's version),taylor swift
18,19,one right now,post malone & the weeknd
19,20,already dead,juice wrld
20,21,kiss me more,doja cat featuring sza
21,22,i bet you think about me (taylor's version) (from the vault),taylor swift featuring chris stapleton
22,23,leave the door open,silk sonic (bruno mars & anderson .paak)
23,24,if i didn't love you,jason aldean & carrie underwood
24,25,red (taylor's version),taylor swift
25,26,save your tears,the weeknd & ariana grande
26,27,knife talk,drake featuring 21 savage & project pat
27,28,meet me at our spot,the anxiety: willow & tyler cole
28,29,better days,neiked x mae muller x polo g
29,30,thinking 'bout you,dustin lynch featuring lauren alaina or mackenzie porter
30,31,girls want girls,drake featuring lil baby
31,32,cold as you,luke combs
32,33,ghost,justin bieber
33,34,love nwantiti (ah ah ah),ckay
34,35,chasing after you,ryan hurd with maren morris
35,36,all i want for christmas is you,mariah carey
36,37,my universe,coldplay x bts
37,38,buy dirt,jordan davis featuring luke bryan
38,39,thats what i want,lil nas x
39,40,happier than ever,billie eilish
40,41,pepas,farruko
41,42,you should probably leave,chris stapleton
42,43,nothing new (taylor's version) (from the vault),taylor swift featuring phoebe bridgers
43,44,who want smoke??,"nardo wick featuring g herbo, lil durk & 21 savage"
44,45,message in a bottle (taylor's version) (from the vault),taylor swift
45,46,i knew you were trouble (taylor's version),taylor swift
46,47,run (taylor's version) (from the vault),taylor swift featuring ed sheeran
47,48,montero (call me by your name),lil nas x
48,49,bad man (smooth criminal),polo g
49,50,same boat,zac brown band
50,51,better man (taylor's version) (from the vault),taylor swift
51,52,22 (taylor's version),taylor swift
52,53,doin' this,luke combs
53,54,treacherous (taylor's version),taylor swift
54,55,we are never ever getting back together (taylor's version),taylor swift
55,56,no love,summer walker & sza
56,57,wild side,normani featuring cardi b
57,58,have mercy,chloe
58,59,i almost do (taylor's version),taylor swift
59,60,chosen,blxst & tyga featuring ty dolla $ign
60,61,the very first night (taylor's version) (from the vault),taylor swift
61,62,family ties,baby keem & kendrick lamar
62,63,everything has changed (taylor's version),taylor swift featuring ed sheeran
63,64,sand in my boots,morgan wallen
64,65,gyalis,capella grey
65,66,the last time (taylor's version),taylor swift featuring gary lightbody of snow patrol
66,67,stay stay stay (taylor's version),taylor swift
67,68,after last night,silk sonic (bruno mars & anderson .paak) with thundercat & bootsy collins
68,69,babe (taylor's version) (from the vault),taylor swift
69,70,sharing locations,meek mill featuring lil baby & lil durk
70,71,escape plan,travis scott
71,72,one mississippi,kane brown
72,73,blast off,silk sonic (bruno mars & anderson .paak)
73,74,knowing you,kenny chesney
74,75,skate,silk sonic (bruno mars & anderson .paak)
75,76,holy ground (taylor's version),taylor swift
76,77,begin again (taylor's version),taylor swift
77,78,put on a smile,silk sonic (bruno mars & anderson .paak)
78,79,forever winter (taylor's version) (from the vault),taylor swift
79,80,whiskey and rain,michael ray
80,81,fly as me,silk sonic (bruno mars & anderson .paak)
81,82,super gremlin,kodak black
82,83,the moment i knew (taylor's version),taylor swift
83,84,the lucky one (taylor's version),taylor swift
84,85,sad beautiful tragic (taylor's version),taylor swift
85,86,fair trade,drake featuring travis scott
86,87,come back...be here (taylor's version),taylor swift
87,88,sad girlz luv money,amaarae & moliy featuring kali uchis
88,89,tequila little time,jon pardi
89,90,starlight (taylor's version),taylor swift
90,91,bubbly,young thug with drake & travis scott
91,92,ex for a reason,summer walker & jt
92,93,freedom was a highway,jimmie allen & brad paisley
93,94,la fama,rosalia featuring the weeknd
94,95,big energy,latto
95,96,moth to a flame,swedish house mafia & the weeknd
96,97,'til you can't,cody johnson
97,98,woman,doja cat
98,99,take my breath,the weeknd
99,100,for tonight,giveon
