,artist(s),song
0,3 doors down,kryptonite
1,gary moore,over the hills and far away
2,marilyn manson,the beautiful people
3,new model army,51st state
4,birth control,gamma ray
5,ramones,i wanna be sedated
6,pink floyd,wish you were here
7,iron maiden,fear of the dark
8,accept,balls to the wall
9,boston,more than a feeling
10,ram jam,black betty
11,queen,bohemian rhapsody
12,zz top,la grange
13,toto,africa
14,the rolling stones,sympathy for the devil
15,iggy pop,the passenger
16,van halen,jump
17,guano apes,open your eyes
18,marius müller westernhagen,mit 18
19,oasis,wonderwall
20,judas priest,breaking the law
21,twisted sister,we’re not gonna take it
22,white snake,here i go again
23,soundgarden,black hole sun
24,the beatles,hey jude
25,survivor,eye of the tiger
26,radiohead,creep
27,the police,so lonely
28,neil young,rockin in the free world
29,jethro tull,locomotive breath
30,danzig,mother
31,alice cooper,poison
32,die toten hosen,bonnie & clyde
33,nirvana,smells like teen spirit
34,thin lizzy,whiskey in the jar
35,deep purple,smoke on the water
36,red hot chili peppers,under the bridge
37,scorpions,rock you like a hurricane
38,lynyrd skynyrd,sweet home alabama
39,dio,holy diver
40,fury in the slaughterhouse,time to wonder
41,blur,song 2
42,kiss,i was made for lovin‘ you
43,pearl jam,alive
44,dire straits,brothers in arms
45,joan jett & the blackhearts,i love rock n‘ roll
46,aerosmith,dream on
47,creedence clearwater revival,fortunate son
48,motörhead,ace of spades
49,rolling stones,you can’t always get what you want
50,bon jovi,livin‘ on a prayer
51,led zeppelin,stairway to heaven
52,billy idol,rebel yell
53,bad religion,punk rock song
54,meat loaf,bat out of hell
55,guns n‘ roses,paradise city
56,foo fighters,everlong
57,acdc,highway to hell
58,rammstein,du hast
59,bryan adams,summer of 69
60,black sabbath,paranoid
61,ac/dc,thunderstruck
62,metallica,enter sandman
63,die ärzte,schrei nach liebe
64,the eagles,hotel california
65,bruce springsteen,the river
66,david bowie,heroes
67,rage against the machine,killing in the name
68,journey,don’t stop believin‘
